epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4855,2.36131,5.48201,0.01164,0,0,0,0,2.34676,10.2376,0.01733,2.858e-05,2.858e-05,2.858e-05
2,23.3265,2.38696,6.04391,0.0119,0,0,0,0,2.28802,10.112,0.01668,7.07426e-05,7.07426e-05,7.07426e-05
3,34.8418,2.30925,5.86015,0.01299,0.00079,0.09231,0.00017,0.0001,2.04768,9.69265,0.01565,0.000112056,0.000112056,0.000112056
4,44.7659,1.94641,6.6519,0.01157,0.00043,0.05897,5e-05,3e-05,1.9005,9.51544,0.01462,0.000152521,0.000152521,0.000152521
5,54.7341,2.16604,5.95817,0.00998,0.00104,0.12564,0.03191,0.02863,1.84247,9.40684,0.01381,0.000192138,0.000192138,0.000192138
6,64.7678,1.77105,5.9072,0.01125,0.00139,0.15897,0.0323,0.03177,1.78281,9.41244,0.01393,0.000230905,0.000230905,0.000230905
7,74.6909,1.88468,5.53196,0.00854,0.0013,0.15897,0.03244,0.0287,1.73323,9.30839,0.01324,0.000268823,0.000268823,0.000268823
8,84.7466,1.86221,4.91597,0.00864,0.00154,0.19231,0.03271,0.02878,1.77406,9.26903,0.01387,0.000305893,0.000305893,0.000305893
9,95.1233,1.88344,4.88455,0.00851,0.00157,0.2,0.03356,0.02701,1.76638,9.1785,0.0125,0.000342114,0.000342114,0.000342114
10,105.532,1.89536,4.45782,0.008,0.00191,0.23333,0.03366,0.02754,1.86931,9.17308,0.01412,0.000377486,0.000377486,0.000377486
11,115.793,1.87843,4.31758,0.00825,0.00359,0.45128,0.03854,0.02506,1.76269,8.96655,0.01327,0.000412009,0.000412009,0.000412009
12,126.593,1.86497,4.15502,0.00779,0.00344,0.47692,0.04375,0.02381,1.7384,8.90896,0.01363,0.000445684,0.000445684,0.000445684
13,137.003,1.78947,5.05592,0.00917,0.00384,0.59487,0.07051,0.03101,1.64238,8.79449,0.01177,0.000478509,0.000478509,0.000478509
14,146.962,1.67604,4.86927,0.01006,0.00388,0.62051,0.09091,0.03998,1.69959,8.84122,0.01366,0.000510486,0.000510486,0.000510486
15,157.259,1.52644,5.2266,0.00848,0.00328,0.52821,0.0876,0.03853,1.81161,8.87849,0.01485,0.000541614,0.000541614,0.000541614
16,168.516,1.73944,4.28601,0.00837,0.00306,0.50256,0.06823,0.03451,1.83654,8.87692,0.01633,0.000571893,0.000571893,0.000571893
17,179.427,1.62909,3.88637,0.0071,0.00307,0.50256,0.07541,0.04351,1.87068,8.77671,0.01599,0.000601323,0.000601323,0.000601323
18,190.211,1.81885,4.34783,0.00883,0.00365,0.59487,0.07074,0.04231,1.85618,8.71032,0.0147,0.000629905,0.000629905,0.000629905
19,200.777,1.81606,3.6081,0.00714,0.00369,0.59487,0.0793,0.04859,1.75092,8.63042,0.01201,0.000657637,0.000657637,0.000657637
20,211.279,1.61993,4.15624,0.00659,0.00371,0.59487,0.06329,0.03737,1.80888,8.63585,0.01434,0.000684521,0.000684521,0.000684521
21,221.924,1.71667,3.51776,0.00635,0.00368,0.59487,0.07602,0.04632,1.74435,8.54097,0.01382,0.000710556,0.000710556,0.000710556
22,232.401,1.68478,4.22294,0.00819,0.00364,0.59487,0.21395,0.15041,1.77196,8.4533,0.01338,0.000735742,0.000735742,0.000735742
23,244.437,1.573,4.40377,0.0093,0.00361,0.59487,0.22725,0.16185,1.90271,8.42211,0.01445,0.000760079,0.000760079,0.000760079
24,257.548,1.79282,3.97363,0.00761,0.00336,0.56154,0.22383,0.15418,1.84241,8.28426,0.01309,0.000783568,0.000783568,0.000783568
25,271.702,1.79465,3.53601,0.00792,0.00334,0.56154,0.23709,0.14065,1.82844,8.18704,0.01309,0.000806208,0.000806208,0.000806208
26,283.371,1.68559,3.83566,0.00775,0.00356,0.59487,0.25347,0.14134,1.90354,8.13347,0.01377,0.000827998,0.000827998,0.000827998
27,292.328,1.64171,3.79384,0.00862,0.23309,0.34359,0.26073,0.15297,1.86809,7.97751,0.01325,0.00084894,0.00084894,0.00084894
28,301.707,1.70307,3.42275,0.00828,0.55247,0.11795,0.25692,0.16373,1.79496,7.78241,0.01342,0.000869033,0.000869033,0.000869033
29,311.377,1.71804,3.17791,0.00734,0.55247,0.11795,0.25692,0.16373,1.79496,7.78241,0.01342,0.000888278,0.000888278,0.000888278
30,320.759,1.79132,3.41779,0.00812,0.49695,0.10534,0.26513,0.18166,1.81139,7.69339,0.01312,0.000906673,0.000906673,0.000906673
